label	pos	tensor	layer	type	point	rel_before	rel_after	step	cos	sub	sub_rel	sub_cos
p4	3	l_out-16	16	linear_gated_deltanet	ffn	0.080685	0.080160	-0.000525	0.996784	ffn_out-16	0.112138	0.993693
p4	3	attn_residual-17	17	linear_gated_deltanet	mixer	0.080160	0.076247	-0.003913	0.997093	linear_attn_out-17	0.087656	0.996414
p4	3	l_out-17	17	linear_gated_deltanet	ffn	0.076247	0.075129	-0.001118	0.997174	ffn_out-17	0.089985	0.995946
p4	3	attn_residual-18	18	linear_gated_deltanet	mixer	0.075129	0.071790	-0.003339	0.997424	linear_attn_out-18	0.087208	0.996249
p4	3	l_out-18	18	linear_gated_deltanet	ffn	0.071790	0.070811	-0.000979	0.997496	ffn_out-18	0.107919	0.994248
p4	3	attn_residual-19	19	full_attention	mixer	0.070811	0.073069	0.002258	0.997336	attn_output-19	0.112448	0.993749
p4	3	l_out-19	19	full_attention	ffn	0.073069	0.077412	0.004343	0.997013	ffn_out-19	0.100762	0.995037
p4	3	attn_residual-20	20	linear_gated_deltanet	mixer	0.077412	0.071867	-0.005545	0.997423	linear_attn_out-20	0.087772	0.996149
p4	3	l_out-20	20	linear_gated_deltanet	ffn	0.071867	0.074117	0.002250	0.997264	ffn_out-20	0.106549	0.994522
p4	3	attn_residual-21	21	linear_gated_deltanet	mixer	0.074117	0.073107	-0.001010	0.997333	linear_attn_out-21	0.114497	0.993543
p4	3	l_out-21	21	linear_gated_deltanet	ffn	0.073107	0.072287	-0.000820	0.997403	ffn_out-21	0.087200	0.996446
p4	3	attn_residual-22	22	linear_gated_deltanet	mixer	0.072287	0.073716	0.001429	0.997317	linear_attn_out-22	0.107712	0.994518
p4	3	l_out-22	22	linear_gated_deltanet	ffn	0.073716	0.075758	0.002042	0.997180	ffn_out-22	0.089373	0.995999
p4	3	attn_residual-23	23	full_attention	mixer	0.075758	0.077945	0.002187	0.997010	attn_output-23	0.078191	0.996952
p4	3	l_out-23	23	full_attention	ffn	0.077945	0.084116	0.006171	0.996747	ffn_out-23	0.069817	0.998014
p4	3	result_norm	-1	-	final_norm	0.084116	0.087119	0.003003	0.996198	-	-	-
orig	4	attn_residual-0	0	linear_gated_deltanet	mixer	0.000000	0.000000	0.000000	1.000000	linear_attn_out-0	0.000000	1.000000
orig	4	l_out-0	0	linear_gated_deltanet	ffn	0.000000	0.000000	0.000000	1.000000	ffn_out-0	0.000000	1.000000
orig	4	attn_residual-1	1	linear_gated_deltanet	mixer	0.000000	0.000000	0.000000	1.000000	linear_attn_out-1	0.000001	1.000000
orig	4	l_out-1	1	linear_gated_deltanet	ffn	0.000000	0.000001	0.000001	1.000000	ffn_out-1	0.000000	1.000000
orig	4	attn_residual-2	2	linear_gated_deltanet	mixer	0.000001	0.002427	0.002426	0.999997	linear_attn_out-2	0.006105	0.999981
orig	4	l_out-2	2	linear_gated_deltanet	ffn	0.002427	0.014620	0.012193	0.999898	ffn_out-2	0.020970	0.999782
orig	4	attn_residual-3	3	full_attention	mixer	0.014620	0.021229	0.006609	0.999791	attn_output-3	0.043846	0.999229
orig	4	l_out-3	3	full_attention	ffn	0.021229	0.024324	0.003095	0.999709	ffn_out-3	0.041152	0.999158
orig	4	attn_residual-4	4	linear_gated_deltanet	mixer	0.024324	0.024184	-0.000140	0.999709	linear_attn_out-4	0.039074	0.999262
orig	4	l_out-4	4	linear_gated_deltanet	ffn	0.024184	0.026213	0.002029	0.999658	ffn_out-4	0.047101	0.998899
orig	4	attn_residual-5	5	linear_gated_deltanet	mixer	0.026213	0.025150	-0.001063	0.999685	linear_attn_out-5	0.044070	0.999031
orig	4	l_out-5	5	linear_gated_deltanet	ffn	0.025150	0.027435	0.002285	0.999625	ffn_out-5	0.052061	0.998648
orig	4	attn_residual-6	6	linear_gated_deltanet	mixer	0.027435	0.027857	0.000422	0.999619	linear_attn_out-6	0.056123	0.998434
orig	4	l_out-6	6	linear_gated_deltanet	ffn	0.027857	0.027172	-0.000685	0.999650	ffn_out-6	0.048709	0.998819
orig	4	attn_residual-7	7	full_attention	mixer	0.027172	0.033766	0.006594	0.999446	attn_output-7	0.064458	0.997952
orig	4	l_out-7	7	full_attention	ffn	0.033766	0.031903	-0.001863	0.999492	ffn_out-7	0.069652	0.997576
orig	4	attn_residual-8	8	linear_gated_deltanet	mixer	0.031903	0.031939	0.000036	0.999490	linear_attn_out-8	0.062509	0.998058
orig	4	l_out-8	8	linear_gated_deltanet	ffn	0.031939	0.031894	-0.000045	0.999499	ffn_out-8	0.067720	0.997730
orig	4	attn_residual-9	9	linear_gated_deltanet	mixer	0.031894	0.031900	0.000006	0.999497	linear_attn_out-9	0.066196	0.997860
orig	4	l_out-9	9	linear_gated_deltanet	ffn	0.031900	0.031418	-0.000482	0.999509	ffn_out-9	0.061342	0.998124
orig	4	attn_residual-10	10	linear_gated_deltanet	mixer	0.031418	0.032028	0.000610	0.999491	linear_attn_out-10	0.057865	0.998406
orig	4	l_out-10	10	linear_gated_deltanet	ffn	0.032028	0.030744	-0.001284	0.999533	ffn_out-10	0.056492	0.998405
orig	4	attn_residual-11	11	full_attention	mixer	0.030744	0.037053	0.006309	0.999321	attn_output-11	0.102628	0.994793
orig	4	l_out-11	11	full_attention	ffn	0.037053	0.035333	-0.001720	0.999380	ffn_out-11	0.082668	0.996577
orig	4	attn_residual-12	12	linear_gated_deltanet	mixer	0.035333	0.034502	-0.000831	0.999408	linear_attn_out-12	0.060625	0.998161
orig	4	l_out-12	12	linear_gated_deltanet	ffn	0.034502	0.032770	-0.001732	0.999464	ffn_out-12	0.067250	0.997777
orig	4	attn_residual-13	13	linear_gated_deltanet	mixer	0.032770	0.032000	-0.000770	0.999488	linear_attn_out-13	0.054646	0.998592
orig	4	l_out-13	13	linear_gated_deltanet	ffn	0.032000	0.031593	-0.000407	0.999501	ffn_out-13	0.058956	0.998268
orig	4	attn_residual-14	14	linear_gated_deltanet	mixer	0.031593	0.031276	-0.000317	0.999511	linear_attn_out-14	0.049013	0.998860
orig	4	l_out-14	14	linear_gated_deltanet	ffn	0.031276	0.029252	-0.002024	0.999573	ffn_out-14	0.043248	0.999066
orig	4	attn_residual-15	15	full_attention	mixer	0.029252	0.030566	0.001314	0.999533	attn_output-15	0.048741	0.998844
orig	4	l_out-15	15	full_attention	ffn	0.030566	0.029651	-0.000915	0.999562	ffn_out-15	0.040227	0.999224
orig	4	attn_residual-16	16	linear_gated_deltanet	mixer	0.029651	0.030022	0.000371	0.999549	linear_attn_out-16	0.056772	0.998468
orig	4	l_out-16	16	linear_gated_deltanet	ffn	0.030022	0.030646	0.000624	0.999532	ffn_out-16	0.050244	0.998738
orig	4	attn_residual-17	17	linear_gated_deltanet	mixer	0.030646	0.029625	-0.001021	0.999566	linear_attn_out-17	0.038995	0.999246
orig	4	l_out-17	17	linear_gated_deltanet	ffn	0.029625	0.028896	-0.000729	0.999586	ffn_out-17	0.040903	0.999167
orig	4	attn_residual-18	18	linear_gated_deltanet	mixer	0.028896	0.028250	-0.000646	0.999605	linear_attn_out-18	0.040303	0.999188
orig	4	l_out-18	18	linear_gated_deltanet	ffn	0.028250	0.028147	-0.000103	0.999613	ffn_out-18	0.040836	0.999166
orig	4	attn_residual-19	19	full_attention	mixer	0.028147	0.031643	0.003496	0.999511	attn_output-19	0.060055	0.998196
orig	4	l_out-19	19	full_attention	ffn	0.031643	0.033361	0.001718	0.999448	ffn_out-19	0.049833	0.998835
orig	4	attn_residual-20	20	linear_gated_deltanet	mixer	0.033361	0.032087	-0.001274	0.999509	linear_attn_out-20	0.038851	0.999300
orig	4	l_out-20	20	linear_gated_deltanet	ffn	0.032087	0.033331	0.001244	0.999460	ffn_out-20	0.057633	0.998430
orig	4	attn_residual-21	21	linear_gated_deltanet	mixer	0.033331	0.032361	-0.000970	0.999499	linear_attn_out-21	0.049165	0.998810
orig	4	l_out-21	21	linear_gated_deltanet	ffn	0.032361	0.033914	0.001553	0.999442	ffn_out-21	0.053411	0.998592
orig	4	attn_residual-22	22	linear_gated_deltanet	mixer	0.033914	0.033501	-0.000413	0.999464	linear_attn_out-22	0.050281	0.998762
orig	4	l_out-22	22	linear_gated_deltanet	ffn	0.033501	0.032070	-0.001431	0.999486	ffn_out-22	0.057373	0.998361
orig	4	attn_residual-23	23	full_attention	mixer	0.032070	0.035961	0.003891	0.999355	attn_output-23	0.045761	0.998966
orig	4	l_out-23	23	full_attention	ffn	0.035961	0.036495	0.000534	0.999354	ffn_out-23	0.027281	0.999706
