name	layer	pos	n	file	sha256
gate	0	1	16	pos1/gate-0.f32	1a496de137c481c7db57712645d787c343640d9a4fc16d0cda4c66ee4c5fd92b
beta_sigmoid	0	1	16	pos1/beta_sigmoid-0.f32	269c758a4bff10ea21c8a55c9319f5cc094de6de2af189a94f0540981f835400
z	0	1	2048	pos1/z-0.f32	d2bd469ce0ae4e0d4410f21433f3f2e7208fa2b51de9b97a62d6e445f6b1ed28
state_predelta	0	1	262144	pos1/state_predelta-0.f32	478865dd67e284841b39980855198097f8000c727c894cf98e2d7568951cb91d
attn_output	0	1	2048	pos1/attn_output-0.f32	a1f89b58e393d4b9a8e61f8b4c04e05673a43c71e1d2449c7fd57fc264101ca4
new_state	0	1	262144	pos1/new_state-0.f32	b1cba3bbd98ed05ad58388c06352937de64cce36752b0d9ec2c9f47f35b604d7
final_output	0	1	2048	pos1/final_output-0.f32	7140235d6530848ddbbc9f296e223a3ad7a08a70fcaf3eabf545962ffdfb905c
linear_attn_out	0	1	1024	pos1/linear_attn_out-0.f32	b00224ed392d3ef752563a405ffa45eb079bd3b63166e7528b6936b3a7e06ad7
attn_residual	0	1	1024	pos1/attn_residual-0.f32	cf6aad27eeae070af2abca41d95859ce13c7cd7122188fcd05c6e2e7d2acbc5c
attn_post_norm	0	1	1024	pos1/attn_post_norm-0.f32	a940347e8bc6e05f11fe1af3bf792bdab407b2835c849f9cb062392c200cc652
ffn_out	0	1	1024	pos1/ffn_out-0.f32	b24ffa1f09b78a13afe9eb230ddb292fc744dd33bbf5d350e9a6616764da49b0
l_out	0	1	1024	pos1/l_out-0.f32	b8d9f57ad926bddbf944e8ab659d7a71a3bf136798e31bdfba2475719f0c7410
attn_norm	1	1	1024	pos1/attn_norm-1.f32	aa99e10ba322e60a893fb5091c7468554b2fa4a762aa458d0abe96180eadcf99
conv_output_silu	1	1	6144	pos1/conv_output_silu-1.f32	34c1d4adbc0365c1d87428b92f9146682252d1515722e956df977dfc55f64dd8
q_conv_predelta	1	1	2048	pos1/q_conv_predelta-1.f32	5d26c9ae03df4216d28c244453f0b597c8a4a866bf0166810a6edcac226afb41
k_conv_predelta	1	1	2048	pos1/k_conv_predelta-1.f32	f8f8b7d941eb197aa4776965c68dac7ca2ef2ee23c19632b6f9079836860b0d4
v_conv_predelta	1	1	2048	pos1/v_conv_predelta-1.f32	8209b3265b692bf991bf44f40db10d1fc71cc0a4bbf449defefb1612a42d9292
a_softplus	1	1	16	pos1/a_softplus-1.f32	5fc6512f17e2063328902758f5414c7388e7695f2e4869b086c01e27359997ca
gate	1	1	16	pos1/gate-1.f32	11c1f08f0fb76f64da0e972b9e0a7af481a0337a5aeea95f0cfa9e3d9fafcbae
beta_sigmoid	1	1	16	pos1/beta_sigmoid-1.f32	8ecff717604edece06bb7dbcd94af51ace0a4deeba2ad60a882551a5917d4609
z	1	1	2048	pos1/z-1.f32	1c8d3e65c91c30ef40160ba2d810a8a962ef5a00a8c7bc7220dc8e04e81cc1a1
state_predelta	1	1	262144	pos1/state_predelta-1.f32	998f981b0940e989fd62089d8b2d4b96ade082584c8fb5905cc079ed0074564b
attn_output	1	1	2048	pos1/attn_output-1.f32	0d757be9d125890568cd82ee5628fba9e488548ea5ca5ed6538ab3213da3a43f
new_state	1	1	262144	pos1/new_state-1.f32	56f1b78bd92c6f3796b3c6c5a7e29d47cddebc89f3a28ab4869b99ea479068ae
final_output	1	1	2048	pos1/final_output-1.f32	2e0d4ef68e8073a10e17c8aa716d5b327763991174fb6f72ed64acbf1c6c07c5
linear_attn_out	1	1	1024	pos1/linear_attn_out-1.f32	fed716612b739a07a9fd869478852774d6c9444f0917a73843a8af2beb830365
attn_residual	1	1	1024	pos1/attn_residual-1.f32	b6d89311a2f54dfb3ad3219ee3e6de7ceb337df95677e6499067e9b2e7f423fb
attn_post_norm	1	1	1024	pos1/attn_post_norm-1.f32	18f56852a400a3226ad27750061215dea85d3d75b486eb8c8456de8fda1f036f
ffn_out	1	1	1024	pos1/ffn_out-1.f32	11f91b31a90583a9b94424b050524eb7fe455611d55b4bc4cf936b559c0f9ec9
l_out	1	1	1024	pos1/l_out-1.f32	5574c4ff476f089586911e34484bade4d74654efc5e03d71874ae5182a5a8345
