name	layer	pos	shape	n_bytes	file	sha256
l_out-12	12	4	1024x1x1x1	4096	pos4/l_out-12.f32	2a954e3531e94187dbc36ef391e1ba10cad74107865e2d2c236ac290159abc5d
l_out-13	13	4	1024x1x1x1	4096	pos4/l_out-13.f32	d4b242697bd2168ce632e656b273a3a6fcac4871941b774269776bedf00624e2
l_out-14	14	4	1024x1x1x1	4096	pos4/l_out-14.f32	61b54ba42f47c3bdbbd7bde6ca33871369806b17ee2ed8a869ad939c5af237f0
l_out-15	15	4	1024x1x1x1	4096	pos4/l_out-15.f32	585f30c8c09a4945dd71996766fe057647c835865cdaed487eaebaeeeed3a7d2
l_out-16	16	4	1024x1x1x1	4096	pos4/l_out-16.f32	3848ac14d0e744d45ad0bc408516ac955f66deb2f70243b0229730f1cc511d00
l_out-17	17	4	1024x1x1x1	4096	pos4/l_out-17.f32	68163acad5dd0cbd3f4806b7f828ed2b0a0cfd6f3792abcc6ffa6b1f0989a5fe
l_out-18	18	4	1024x1x1x1	4096	pos4/l_out-18.f32	4f624d8d6eebab5fcfa956f1f8b2e6e8436824387125d0a3272ab75557739a75
l_out-19	19	4	1024x1x1x1	4096	pos4/l_out-19.f32	702b5f9b810fbc8161f7be7f2f23962044660efaf0ebfc852f9d677761221895
l_out-20	20	4	1024x1x1x1	4096	pos4/l_out-20.f32	e099d5e29cf61f468428c68c0538a53ac609fcdc1c8b60e0a924b2cd7ff9b6d1
l_out-21	21	4	1024x1x1x1	4096	pos4/l_out-21.f32	cf6fdd20a040167a2fb28284316e96b011d3af33b3d301dee599511041344211
l_out-22	22	4	1024x1x1x1	4096	pos4/l_out-22.f32	f2e91c00275e8fd56d857526d323d0db907477b17117114b7ef9c9258f416751
l_out-23	23	4	1024x1x1x1	4096	pos4/l_out-23.f32	caf493adf8f74f6238145016961e30d92f0e79bda1a83f73d859d4fa30ec98e2
result_norm	-1	4	1024x1x1x1	4096	pos4/result_norm.f32	db2877fce7dc65d8279a103e41dbd41c0ab7ef08bc20fd3b9ce526d2e68b40e8
result_output	-1	4	248320x1x1x1	993280	pos4/result_output.f32	8d7c2f8aa029e70d59f1ec8151b23f88994b2e92e4fd83aa9ea069ca1f631f52
model.input_embed	-1	28	1024x1x1x1	4096	pos28/model.input_embed.f32	42840b96bd73b0c97b92fedfd5b77eb68eb80783816423cd54104ff915f47ff1
l_out-0	0	28	1024x1x1x1	4096	pos28/l_out-0.f32	ef30af430c8b543e36377bdf4ab2f35727b5d3313da114486b18ec215cf61058
l_out-1	1	28	1024x1x1x1	4096	pos28/l_out-1.f32	66099b28b928a736e0f66653a1093e4c65a9694fe7d61a49fd154cfbdca493ba
l_out-2	2	28	1024x1x1x1	4096	pos28/l_out-2.f32	cb4eb69baf7f1ea17c32c36a27a2cd842686b0fd9046f9eec42bc7497e5425aa
l_out-3	3	28	1024x1x1x1	4096	pos28/l_out-3.f32	c6a3e175c6e710b88585584bf9f6e254d8e347743f9e4043bd2cfeddd657bd1b
l_out-4	4	28	1024x1x1x1	4096	pos28/l_out-4.f32	7d9c2ff69c421a78cf708e88207a2260d64802936315048708da6b53593e492c
l_out-5	5	28	1024x1x1x1	4096	pos28/l_out-5.f32	a3c6b7c07720aa5a91a72b225e380be7755d9a27c34af82477288b0996dd3500
l_out-6	6	28	1024x1x1x1	4096	pos28/l_out-6.f32	a9dfa9530c5b8b1a124e080b0eae1b9747892a76e0930d3a81d39d7aa9a77a51
l_out-7	7	28	1024x1x1x1	4096	pos28/l_out-7.f32	07ac091e811234ad4b0b161e23d2aed0f68ad3dfb0fc1d2e7f29d7594b654bd8
l_out-8	8	28	1024x1x1x1	4096	pos28/l_out-8.f32	cd0a92aebf1acd520b04f478b09bb835da01b4d7d424c4db7bf030340250fbd0
l_out-9	9	28	1024x1x1x1	4096	pos28/l_out-9.f32	7110d45d22b01c72cfae5b5e673824a83f3186d30b49d4e9e23661d3c14e54bb
l_out-10	10	28	1024x1x1x1	4096	pos28/l_out-10.f32	99bcf798137daa6781700ab65e4686d31259623bb2c7db5576a9899f374ca801
l_out-11	11	28	1024x1x1x1	4096	pos28/l_out-11.f32	dee210950c14d8e85aade02076307963fd821539394d33796df9f2611acb9f5b
l_out-12	12	28	1024x1x1x1	4096	pos28/l_out-12.f32	a344bdfba7b9b3c10f61e610e069e72fb919fa3c4b17ada0291aaa24e66b28f9
l_out-13	13	28	1024x1x1x1	4096	pos28/l_out-13.f32	4d45e9dfdaf9ef06667755973ebd1b5a347909e3ed63df5398543b07bd61c14d
l_out-14	14	28	1024x1x1x1	4096	pos28/l_out-14.f32	d6961079b1c190b713d42e17cc246fed857f6c732509980ec94ad348fa906ab7
l_out-15	15	28	1024x1x1x1	4096	pos28/l_out-15.f32	db95c94c9480e79f529c16b72123b9afd8fde14b991ddc9e2c6678801f48feba
l_out-16	16	28	1024x1x1x1	4096	pos28/l_out-16.f32	adccac898605c866f18ea777045374dd753dd848f49ec481f6b69cf19729cd12
l_out-17	17	28	1024x1x1x1	4096	pos28/l_out-17.f32	bf813e54710211818c216c480fedbb317551bd1d2d9228bbeb9f15dba866c3eb
l_out-18	18	28	1024x1x1x1	4096	pos28/l_out-18.f32	3dcc0d75e14e7c96d4f9c1153add99f4a30de3d89eb2124112199efbb3156e7c
l_out-19	19	28	1024x1x1x1	4096	pos28/l_out-19.f32	1924e58098f90f57cb103c36fcf9e5cc031c18ed5c2a24b06c8ca0adf4b7b0ee
