label	pos	tensor	layer	type	point	rel_before	rel_after	step	cos	sub	sub_rel	sub_cos
p4	1	l_out-6	6	linear_gated_deltanet	ffn	0.091241	0.093633	0.002392	0.995659	ffn_out-6	0.115546	0.993416
p4	1	attn_residual-7	7	full_attention	mixer	0.093633	0.103630	0.009997	0.994632	attn_output-7	0.068198	0.997778
p4	1	l_out-7	7	full_attention	ffn	0.103630	0.112255	0.008625	0.993705	ffn_out-7	0.173643	0.985154
p4	1	attn_residual-8	8	linear_gated_deltanet	mixer	0.112255	0.111697	-0.000558	0.993784	linear_attn_out-8	0.120860	0.992935
p4	1	l_out-8	8	linear_gated_deltanet	ffn	0.111697	0.120305	0.008608	0.992741	ffn_out-8	0.168380	0.985812
p4	1	attn_residual-9	9	linear_gated_deltanet	mixer	0.120305	0.122609	0.002304	0.992457	linear_attn_out-9	0.110343	0.994421
p4	1	l_out-9	9	linear_gated_deltanet	ffn	0.122609	0.136550	0.013941	0.990639	ffn_out-9	0.206309	0.978506
p4	1	attn_residual-10	10	linear_gated_deltanet	mixer	0.136550	0.133372	-0.003178	0.991092	linear_attn_out-10	0.149404	0.988887
p4	1	l_out-10	10	linear_gated_deltanet	ffn	0.133372	0.139653	0.006281	0.990222	ffn_out-10	0.189793	0.982268
p4	1	attn_residual-11	11	full_attention	mixer	0.139653	0.142580	0.002927	0.989794	attn_output-11	0.142433	0.989859
p4	1	l_out-11	11	full_attention	ffn	0.142580	0.157639	0.015059	0.987689	ffn_out-11	0.211161	0.979150
p4	1	attn_residual-12	12	linear_gated_deltanet	mixer	0.157639	0.156778	-0.000861	0.987840	linear_attn_out-12	0.189386	0.982085
p4	1	l_out-12	12	linear_gated_deltanet	ffn	0.156778	0.177771	0.020993	0.984729	ffn_out-12	0.263831	0.965881
p4	1	attn_residual-13	13	linear_gated_deltanet	mixer	0.177771	0.177192	-0.000579	0.984775	linear_attn_out-13	0.221534	0.976112
p4	1	l_out-13	13	linear_gated_deltanet	ffn	0.177192	0.187669	0.010477	0.983093	ffn_out-13	0.257818	0.968137
p4	1	attn_residual-14	14	linear_gated_deltanet	mixer	0.187669	0.185727	-0.001942	0.983354	linear_attn_out-14	0.202149	0.979607
p4	1	l_out-14	14	linear_gated_deltanet	ffn	0.185727	0.180173	-0.005554	0.984252	ffn_out-14	0.223023	0.975432
p4	1	attn_residual-15	15	full_attention	mixer	0.180173	0.182158	0.001985	0.983820	attn_output-15	0.152035	0.988637
p4	1	l_out-15	15	full_attention	ffn	0.182158	0.174635	-0.007523	0.985146	ffn_out-15	0.203115	0.979464
p4	1	attn_residual-16	16	linear_gated_deltanet	mixer	0.174635	0.157479	-0.017156	0.987684	linear_attn_out-16	0.139646	0.990204
p4	1	l_out-16	16	linear_gated_deltanet	ffn	0.157479	0.176957	0.019478	0.984385	ffn_out-16	0.212248	0.977545
p4	1	attn_residual-17	17	linear_gated_deltanet	mixer	0.176957	0.172843	-0.004114	0.985101	linear_attn_out-17	0.211964	0.977278
p4	1	l_out-17	17	linear_gated_deltanet	ffn	0.172843	0.189268	0.016425	0.982032	ffn_out-17	0.223574	0.974687
p4	1	attn_residual-18	18	linear_gated_deltanet	mixer	0.189268	0.191530	0.002262	0.981559	linear_attn_out-18	0.240507	0.971016
p4	1	l_out-18	18	linear_gated_deltanet	ffn	0.191530	0.203555	0.012025	0.979126	ffn_out-18	0.257812	0.966898
p4	1	attn_residual-19	19	full_attention	mixer	0.203555	0.211931	0.008376	0.977403	attn_output-19	0.170013	0.985772
p4	1	l_out-19	19	full_attention	ffn	0.211931	0.230613	0.018682	0.973098	ffn_out-19	0.302866	0.954525
p4	1	attn_residual-20	20	linear_gated_deltanet	mixer	0.230613	0.248115	0.017502	0.969102	linear_attn_out-20	0.320118	0.947913
p4	1	l_out-20	20	linear_gated_deltanet	ffn	0.248115	0.262045	0.013930	0.965589	ffn_out-20	0.326952	0.948403
p4	1	attn_residual-21	21	linear_gated_deltanet	mixer	0.262045	0.284240	0.022195	0.959212	linear_attn_out-21	0.349969	0.936811
p4	1	l_out-21	21	linear_gated_deltanet	ffn	0.284240	0.314435	0.030195	0.950480	ffn_out-21	0.354726	0.935008
p4	1	attn_residual-22	22	linear_gated_deltanet	mixer	0.314435	0.309310	-0.005125	0.952225	linear_attn_out-22	0.368056	0.936898
p4	1	l_out-22	22	linear_gated_deltanet	ffn	0.309310	0.299569	-0.009741	0.954867	ffn_out-22	0.357217	0.936810
p4	1	attn_residual-23	23	full_attention	mixer	0.299569	0.319942	0.020373	0.948530	attn_output-23	0.216937	0.976426
p4	1	l_out-23	23	full_attention	ffn	0.319942	0.332800	0.012858	0.944144	ffn_out-23	0.308102	0.952956
p4	1	result_norm	-1	-	final_norm	0.332800	0.331704	-0.001096	0.944845	-	-	-
p4	2	attn_residual-0	0	linear_gated_deltanet	mixer	0.000000	0.042473	0.042473	0.999110	linear_attn_out-0	0.042371	0.999112
p4	2	l_out-0	0	linear_gated_deltanet	ffn	0.042473	0.046291	0.003818	0.998932	ffn_out-0	0.064901	0.997956
p4	2	attn_residual-1	1	linear_gated_deltanet	mixer	0.046291	0.049943	0.003652	0.998755	linear_attn_out-1	0.079518	0.996894
p4	2	l_out-1	1	linear_gated_deltanet	ffn	0.049943	0.061850	0.011907	0.998091	ffn_out-1	0.093448	0.995670
p4	2	attn_residual-2	2	linear_gated_deltanet	mixer	0.061850	0.064708	0.002858	0.997929	linear_attn_out-2	0.104315	0.995048
p4	2	l_out-2	2	linear_gated_deltanet	ffn	0.064708	0.075581	0.010873	0.997276	ffn_out-2	0.097290	0.995307
p4	2	attn_residual-3	3	full_attention	mixer	0.075581	0.078235	0.002654	0.996937	attn_output-3	0.103102	0.994878
p4	2	l_out-3	3	full_attention	ffn	0.078235	0.088196	0.009961	0.996103	ffn_out-3	0.131596	0.991801
p4	2	attn_residual-4	4	linear_gated_deltanet	mixer	0.088196	0.089173	0.000977	0.996028	linear_attn_out-4	0.145011	0.989556
p4	2	l_out-4	4	linear_gated_deltanet	ffn	0.089173	0.089717	0.000544	0.995967	ffn_out-4	0.156655	0.987922
p4	2	attn_residual-5	5	linear_gated_deltanet	mixer	0.089717	0.090454	0.000737	0.995901	linear_attn_out-5	0.136405	0.991259
p4	2	l_out-5	5	linear_gated_deltanet	ffn	0.090454	0.087887	-0.002567	0.996134	ffn_out-5	0.183270	0.984671
p4	2	attn_residual-6	6	linear_gated_deltanet	mixer	0.087887	0.096810	0.008923	0.995329	linear_attn_out-6	0.133529	0.991187
p4	2	l_out-6	6	linear_gated_deltanet	ffn	0.096810	0.096743	-0.000067	0.995324	ffn_out-6	0.139982	0.990154
p4	2	attn_residual-7	7	full_attention	mixer	0.096743	0.098807	0.002064	0.995132	attn_output-7	0.098274	0.995209
p4	2	l_out-7	7	full_attention	ffn	0.098807	0.094452	-0.004355	0.995608	ffn_out-7	0.151033	0.988616
p4	2	attn_residual-8	8	linear_gated_deltanet	mixer	0.094452	0.099720	0.005268	0.995065	linear_attn_out-8	0.141895	0.990838
p4	2	l_out-8	8	linear_gated_deltanet	ffn	0.099720	0.104312	0.004592	0.994587	ffn_out-8	0.156701	0.987703
p4	2	attn_residual-9	9	linear_gated_deltanet	mixer	0.104312	0.108873	0.004561	0.994087	linear_attn_out-9	0.170566	0.985346
p4	2	l_out-9	9	linear_gated_deltanet	ffn	0.108873	0.112216	0.003343	0.993697	ffn_out-9	0.183469	0.983033
p4	2	attn_residual-10	10	linear_gated_deltanet	mixer	0.112216	0.112402	0.000186	0.993663	linear_attn_out-10	0.173422	0.985198
p4	2	l_out-10	10	linear_gated_deltanet	ffn	0.112402	0.117050	0.004648	0.993131	ffn_out-10	0.169720	0.985512
p4	2	attn_residual-11	11	full_attention	mixer	0.117050	0.119108	0.002058	0.992887	attn_output-11	0.154849	0.987944
p4	2	l_out-11	11	full_attention	ffn	0.119108	0.120017	0.000909	0.992772	ffn_out-11	0.183967	0.982956
p4	2	attn_residual-12	12	linear_gated_deltanet	mixer	0.120017	0.123214	0.003197	0.992385	linear_attn_out-12	0.200823	0.980043
p4	2	l_out-12	12	linear_gated_deltanet	ffn	0.123214	0.130590	0.007376	0.991445	ffn_out-12	0.215958	0.976516
p4	2	attn_residual-13	13	linear_gated_deltanet	mixer	0.130590	0.140855	0.010265	0.990039	linear_attn_out-13	0.241614	0.971433
p4	2	l_out-13	13	linear_gated_deltanet	ffn	0.140855	0.141169	0.000314	0.990015	ffn_out-13	0.214036	0.976847
p4	2	attn_residual-14	14	linear_gated_deltanet	mixer	0.141169	0.141666	0.000497	0.989949	linear_attn_out-14	0.181755	0.983723
p4	2	l_out-14	14	linear_gated_deltanet	ffn	0.141666	0.131460	-0.010206	0.991373	ffn_out-14	0.184237	0.982884
