label	pos	layer	kernel	qtype	n	K(llama_in)==llama_out_bits	K(apr_in)==apr_out_bits	in_rel_l2	K_out_rel_l2	amplification	out_rel_l2_dumps
p4	3	5	attn_norm->z	Q4_K	2048	2048	2048	5.037e-02	3.024e-02	0.6	3.024e-02
p4	3	5	final_output->linear_attn_out	Q5_K	1024	1024	1024	5.071e-02	6.716e-02	1.3	6.716e-02
p4	3	6	attn_norm->z	Q4_K	2048	2048	2048	5.499e-02	2.768e-02	0.5	2.768e-02
p4	3	6	final_output->linear_attn_out	Q5_K	1024	1024	1024	5.569e-02	6.482e-02	1.2	6.482e-02
p4	3	8	attn_norm->z	Q4_K	2048	2048	2048	6.871e-02	2.970e-02	0.4	2.970e-02
p4	3	8	final_output->linear_attn_out	Q5_K	1024	1024	1024	9.727e-02	1.022e-01	1.1	1.022e-01
p4	3	9	attn_norm->z	Q4_K	2048	2048	2048	7.022e-02	3.538e-02	0.5	3.538e-02
p4	3	9	final_output->linear_attn_out	Q5_K	1024	1024	1024	7.292e-02	9.052e-02	1.2	9.052e-02
p4	3	10	attn_norm->z	Q4_K	2048	2048	2048	7.110e-02	3.045e-02	0.4	3.045e-02
p4	3	10	final_output->linear_attn_out	Q5_K	1024	1024	1024	8.058e-02	9.023e-02	1.1	9.023e-02
p4	3	12	attn_norm->z	Q4_K	2048	2048	2048	7.460e-02	3.379e-02	0.5	3.379e-02
p4	3	12	final_output->linear_attn_out	Q5_K	1024	1024	1024	9.445e-02	1.070e-01	1.1	1.070e-01
p4	3	13	attn_norm->z	Q4_K	2048	2048	2048	7.712e-02	4.399e-02	0.6	4.399e-02
p4	3	13	final_output->linear_attn_out	Q5_K	1024	1024	1024	9.266e-02	8.803e-02	1.0	8.803e-02
p4	3	14	attn_norm->z	Q4_K	2048	2048	2048	7.130e-02	2.877e-02	0.4	2.877e-02
p4	3	14	final_output->linear_attn_out	Q5_K	1024	1024	1024	6.668e-02	7.124e-02	1.1	7.124e-02
p4	3	16	attn_norm->z	Q4_K	2048	2048	2048	7.084e-02	3.789e-02	0.5	3.789e-02
p4	3	16	final_output->linear_attn_out	Q5_K	1024	1024	1024	6.916e-02	8.150e-02	1.2	8.150e-02
p4	3	17	attn_norm->z	Q4_K	2048	2048	2048	7.434e-02	4.261e-02	0.6	4.261e-02
p4	3	17	final_output->linear_attn_out	Q5_K	1024	1024	1024	7.621e-02	8.754e-02	1.1	8.754e-02
p4	3	18	attn_norm->z	Q4_K	2048	2048	2048	7.184e-02	3.941e-02	0.5	3.941e-02
p4	3	18	final_output->linear_attn_out	Q5_K	1024	1024	1024	8.866e-02	7.634e-02	0.9	7.634e-02
p4	3	20	attn_norm->z	Q4_K	2048	2048	2048	7.533e-02	4.418e-02	0.6	4.418e-02
p4	3	20	final_output->linear_attn_out	Q5_K	1024	1024	1024	5.867e-02	8.424e-02	1.4	8.424e-02
p4	3	21	attn_norm->z	Q4_K	2048	2048	2048	7.734e-02	4.934e-02	0.6	4.934e-02
p4	3	21	final_output->linear_attn_out	Q5_K	1024	1024	1024	9.520e-02	1.133e-01	1.2	1.133e-01
p4	3	22	attn_norm->z	Q4_K	2048	2048	2048	7.483e-02	3.655e-02	0.5	3.655e-02
p4	3	22	final_output->linear_attn_out	Q5_K	1024	1024	1024	6.048e-02	1.023e-01	1.7	1.023e-01
orig	4	0	attn_norm->z	Q4_K	2048	2048	2048	0.000e+00	0.000e+00	nan	0.000e+00
orig	4	0	final_output->linear_attn_out	Q5_K	1024	1024	1024	1.878e-07	3.760e-07	2.0	3.760e-07
orig	4	1	attn_norm->z	Q4_K	2048	2048	2048	3.970e-07	1.429e-07	0.4	1.429e-07
orig	4	1	final_output->linear_attn_out	Q5_K	1024	1024	1024	2.233e-04	9.789e-04	4.4	9.789e-04
orig	4	2	attn_norm->z	Q4_K	2048	2048	2048	7.996e-03	8.774e-03	1.1	8.774e-03
orig	4	2	final_output->linear_attn_out	Q5_K	1024	1024	1024	1.142e-02	2.345e-02	2.1	2.345e-02
orig	4	4	attn_norm->z	Q4_K	2048	2048	2048	2.760e-02	1.625e-02	0.6	1.625e-02
orig	4	4	final_output->linear_attn_out	Q5_K	1024	1024	1024	3.603e-02	4.600e-02	1.3	4.600e-02
orig	4	5	attn_norm->z	Q4_K	2048	2048	2048	3.083e-02	1.795e-02	0.6	1.795e-02
orig	4	5	final_output->linear_attn_out	Q5_K	1024	1024	1024	5.247e-02	4.530e-02	0.9	4.530e-02
orig	4	6	attn_norm->z	Q4_K	2048	2048	2048	3.182e-02	1.640e-02	0.5	1.640e-02
orig	4	6	final_output->linear_attn_out	Q5_K	1024	1024	1024	3.427e-02	6.221e-02	1.8	6.221e-02
orig	4	8	attn_norm->z	Q4_K	2048	2048	2048	3.687e-02	1.898e-02	0.5	1.898e-02
orig	4	8	final_output->linear_attn_out	Q5_K	1024	1024	1024	9.054e-02	7.225e-02	0.8	7.225e-02
